keyword,title,company,description,location,salary_max,salary_min,salary_is_predicted,salary,python,sql,aws,java,javascript,typescript,excel,tableau,power_bi,docker,react,git,no_experience,remote
data analyst,Data Analyst,Surya Systems,"Surya Systems seeks Data Analyst at Exton, PA & various unanticipated locations in U.S.: Support & execute analysis in customer/product/business/cost/media/people domains. Req. Masters degree in IT & Mngmt, DA, MIS, / reltd.  1 yr. relev. exp. w/ Advanced SQL, Tableau, Python, & ETL. Req. travel/relocation within U.S. Salary: $140,150-$145K/yr. Mail resume: 120 E Uwchlan Avenue, Suite 203, Exton, PA 19341. Attention: HR","Exton, Chester County",81434.57,81434.57,1,81434.57,True,True,False,False,False,False,False,True,False,False,False,False,False,False
data analyst,Data Analyst,"A & G International Trade, Inc.","Validate e-commerce data; manage database systems, Mail Resume to Job Site: A & G International Trade, Inc., 2050 Mountain City St, Henderson, NV 89052, No Calls.","Green Valley, Clark County",61373.33,61373.33,1,61373.33,False,False,False,False,False,False,False,False,False,False,False,False,False,False
data analyst,Data Analyst,"Computer Merchant, Ltd., The","JOB TITLE: Data Analyst JOB LOCATION: Quincy, MA 3 days on site WAGE RANGE*: 40 - 49/ hour JOB NUMBER:231164 REQUIRED EXPERIENCE: Requirements An online portfolio with examples with nonconfidential data that demonstrates your analysis skills Advanced experience with Microsoft Power BI, DAX, Power Query, M, ETL, Python, PySpark, SQL, key focus on performance optimization of DAX. Preferred Qualifications Microsoft Certifications for any of the following: Power BI Data Analyst Associate (PL-300), …","Norfolk Downs, Norfolk County",105370.2,105370.2,1,105370.2,True,True,False,False,False,False,False,False,True,False,False,False,False,False
data analyst,Data Analyst,Axelon Services Corporation,"Titile: Data Analyst Location: Dallas, TX Job Description: The Data Analyst identifies current market sector trends and customer patterns through statistical modeling and analytics. This job assists in examining and identifying data trends that help answer business questions and improve decision-making. Working under moderate supervision, this job collects data sources, analyzes data and extracts key information. This job helps monitor and evaluate data quality to meet the organization's inform…","Dallas, Texas",85165.78,85165.78,1,85165.78,False,False,False,False,False,False,False,False,False,False,False,False,False,False
data analyst,Data Analyst,Booz Allen Hamilton,"Job Number: R0239936 Data Analyst The Opportunity: As data analyst, you love diving into data and turning it into meaningful insights. With the abundance of structured and unstructured data, you understand the importance of transforming complex data sets into useful information to solve challenges. As a data analyst at Booz Allen, you can use your skills and experience to support a mission and use data for good. We need a data analyst like you to bring your knowledge to the Navy. As a client-fa…","San Diego, San Diego County",116151.33,116151.33,1,116151.33,False,False,False,False,False,False,False,False,False,False,False,False,False,False
data analyst,Data Analyst,Software Guidance & Assistance,"Software Guidance & Assistance, Inc., (SGA), is searching for a Data Analyst for a CONTRACT assignment with one of our premier Regulatory clients in the DMV area. The Data Analyst prepares department statistical reports, conducts ad hoc reporting, assists staff with department computer applications and completes special projects. This is a basic-level professional position in which the individual will perform assigned roles, develop job-related skills, and will work under limited supervision. R…","Derwood, Montgomery County",43449.42,43449.42,1,43449.42,False,False,False,False,False,False,False,False,False,False,False,False,False,False
data analyst,Data Analyst,9th Way Insignia,"9th Way Insignia is a service-disabled, veteran-owned small business bringing transformative technology to our government customers so they can achieve their missions. Our specialties include cybersecurity, cloud modernization, software development, data analytics, enterprise architecture, enterprise IT, analytics, process automation, and artificial intelligence. Learn more about 9th Way Insignia at Application password: Niner 9th Way Insignia is seeking a Data Analyst to support a government c…","Mount Rainier, Prince George's County",136821.34,136821.34,1,136821.34,False,False,False,False,False,False,False,False,False,False,False,False,False,False
data analyst,Data Analyst,Uline,"Data Analyst Corporate Headquarters 12575 Uline Dr. Pleasant Prairie, WI 53158 Ready to make a real impact? Join Uline as a Data Analyst to be a driver of operational excellence. From searching for improvements regarding manual processes to thinking critically about various issues, your skills will help shape our growing company's future! Careers Packed with Potential. Backed by 45 years of success, Uline offers opportunities to grow your career with stability you can count on. Position Respons…","Pleasant Prairie, Kenosha County",70219.6,70219.6,1,70219.6,False,False,False,False,False,False,False,False,False,False,False,False,False,False
data analyst,Data Analyst,Booz Allen Hamilton,"Job Number: R0238065 Data Analyst The Opportunity: As a data analyst, you love diving into data and turning it into meaningful insights. With the abundance of structured and unstructured data, you understand the importance of transforming complex data sets into useful information to solve challenges. As a data analyst at Booz Allen, you can use your skills and experience to support a mission and use data for good. We need a data expert like you to bring your expertise to empower our clients to …","Wake Island, Honolulu",93419.09,93419.09,1,93419.09,False,False,False,False,False,False,False,False,False,False,False,False,False,False
data analyst,Data Analyst,Booz Allen Hamilton,"Job Number: R0239338 Data Analyst The Opportunity: As a Data Analyst, you enjoy diving into data and turning it into meaningful insights. With the abundance of structured and unstructured data, you understand the importance of transforming complex data sets into useful information to solve challenges. As a client-facing data analyst on our team, you'll work with and guide a multi-disciplinary team of analysts, data engineers, developers, and data consumers in a fast-paced, Agile environment. Yo…","Camp Lejeune, Onslow County",114923.66,114923.66,1,114923.66,False,False,False,False,False,False,False,False,False,False,False,False,False,False
